step_time,radius,diffusion_coef,tx_count,tx_centers,molecule_counts,rx_center,from,"first_rotations(x,y,z)","second_rotations(x,y,z)"
9.999999974752427e-07,5,79.4000015258789,2,"[[0.5699860360965843, -4.3655439507287985, -14.013708818350933], [-0.1526959529599982, -4.409032117699586, -8.850762878428727]]","[10000, 10000]","[0, 0, 0]","[388, 1397]","[170.0714874267578, 107.4408187866211, 97.43872833251953]","[130.07887268066406, 116.49402618408203, 88.01649475097656]"
9.999999974752427e-07,5,79.4000015258789,2,"[[-3.5727206776766187, 0.3361151825236795, 8.314596345142201], [7.313013848963504, -2.7055140217013913, -0.7644075594417178]]","[10000, 10000]","[0, 0, 0]","[2636, 1727]","[228.306396484375, 293.34454345703125, 174.6255340576172]","[164.7356719970703, 174.4010009765625, 159.69760131835938]"
9.999999974752427e-07,5,79.4000015258789,2,"[[-2.9325553368388313, 4.50678423599497, 3.390195301354589], [2.378448947690258, -5.53697577235028, 3.986095284531989]]","[10000, 10000]","[0, 0, 0]","[415, 1062]","[324.4849853515625, 212.23191833496094, 303.0519714355469]","[303.446533203125, 213.48306274414062, 113.24629974365234]"
9.999999974752427e-07,5,79.4000015258789,2,"[[2.3268145634600694, 1.278568616242257, -6.039950888456591], [10.526519057676971, 7.494894416545797, 3.3792518529006204]]","[10000, 10000]","[0, 0, 0]","[1933, 2583]","[87.65296173095703, 66.27133178710938, 28.78849220275879]","[150.2152862548828, 194.65518188476562, 215.45091247558594]"
9.999999974752427e-07,5,79.4000015258789,2,"[[0.00750602520602139, -0.09142910227828376, -10.420236188144457], [12.705567083425406, 3.8663229762851046, 1.5285579740513702]]","[10000, 10000]","[0, 0, 0]","[3247, 2336]","[69.384521484375, 89.49559783935547, 274.6932678222656]","[293.48541259765625, 353.4344177246094, 16.92508316040039]"
9.999999974752427e-07,5,79.4000015258789,2,"[[-11.318416683875899, -7.415508276367176, -2.5425668855715404], [-4.062791072255364, 5.001566900486246, -3.4765274782147295]]","[10000, 10000]","[0, 0, 0]","[1107, 1298]","[295.98590087890625, 10.641932487487793, 213.231689453125]","[67.49474334716797, 28.34770965576172, 129.0870819091797]"
9.999999974752427e-07,5,79.4000015258789,2,"[[-6.661706865651775, -0.16451918271946037, -9.023840545128554], [-2.4806205150319736, 1.6187519838609297, -5.0589135999579895]]","[10000, 10000]","[0, 0, 0]","[2774, 1761]","[143.70692443847656, 53.55564498901367, 181.41470336914062]","[310.3463134765625, 59.65041732788086, 146.8731689453125]"
9.999999974752427e-07,5,79.4000015258789,2,"[[-0.9109015805682273, 0.018796426471557423, 9.713267818784345], [0.12363750477828638, -1.328742749574471, -12.122318071200516]]","[10000, 10000]","[0, 0, 0]","[2345, 913]","[206.67117309570312, 264.6413879394531, 358.81787109375]","[142.72622680664062, 83.71790313720703, 275.31597900390625]"
9.999999974752427e-07,5,79.4000015258789,2,"[[0.34263567504851533, -9.719772755794397, 4.791467579074165], [3.8684116042283443, 3.408211429988272, -12.917114390874806]]","[10000, 10000]","[0, 0, 0]","[2103, 120]","[305.132080078125, 333.7726135253906, 272.0189208984375]","[87.45484161376953, 111.75850677490234, 221.3812255859375]"
9.999999974752427e-07,5,79.4000015258789,2,"[[-5.333975749050709, 2.5487389627384514, -5.234705608504357], [5.862934340233553, -3.0423091222045056, -10.928181313954108]]","[10000, 10000]","[0, 0, 0]","[1030, 1085]","[194.13772583007812, 138.475341796875, 334.4600830078125]","[133.05172729492188, 58.850154876708984, 332.574951171875]"
